Ensembl	Gene	"Gene description"	Uniprot	Evidence
ENSG00000139053	PDE6H	"Phosphodiesterase 6H"	Q13956	"Evidence at protein level"
ENSG00000131828	PDHA1	"Pyruvate dehydrogenase E1 alpha 1 subunit"	P08559	"Evidence at protein level"
ENSG00000168291	PDHB	"Pyruvate dehydrogenase E1 beta subunit"	P11177	"Evidence at protein level"
ENSG00000067992	PDK3	"Pyruvate dehydrogenase kinase 3"	Q15120	"Evidence at protein level"
ENSG00000164951	PDP1	"Pyruvate dehyrogenase phosphatase catalytic subunit 1"	Q9P0J1	"Evidence at protein level"
ENSG00000148459	PDSS1	"Decaprenyl diphosphate synthase subunit 1"	Q5T2R2	"Evidence at protein level"
ENSG00000164494	PDSS2	"Decaprenyl diphosphate synthase subunit 2"	Q86YH6	"Evidence at protein level"
ENSG00000101327	PDYN	Prodynorphin	P01213	"Evidence at protein level"
ENSG00000124299	PEPD	"Peptidase D"	P12955	"Evidence at protein level"
ENSG00000127980	PEX1	"Peroxisomal biogenesis factor 1"	O43933	"Evidence at protein level"
ENSG00000157911	PEX10	"Peroxisomal biogenesis factor 10"	O60683	"Evidence at protein level"
ENSG00000108733	PEX12	"Peroxisomal biogenesis factor 12"	O00623	"Evidence at protein level"
ENSG00000162928	PEX13	"Peroxisomal biogenesis factor 13"	Q92968	"Evidence at protein level"
ENSG00000142655	PEX14	"Peroxisomal biogenesis factor 14"	O75381	"Evidence at protein level"
ENSG00000121680	PEX16	"Peroxisomal biogenesis factor 16"	Q9Y5Y5	"Evidence at protein level"
ENSG00000162735	PEX19	"Peroxisomal biogenesis factor 19"	P40855	"Evidence at protein level"
ENSG00000164751	PEX2	"Peroxisomal biogenesis factor 2"	P28328	"Evidence at protein level"
ENSG00000215193	PEX26	"Peroxisomal biogenesis factor 26"	Q7Z412	"Evidence at protein level"
ENSG00000034693	PEX3	"Peroxisomal biogenesis factor 3"	P56589	"Evidence at protein level"
ENSG00000124587	PEX6	"Peroxisomal biogenesis factor 6"	Q13608	"Evidence at protein level"
ENSG00000112357	PEX7	"Peroxisomal biogenesis factor 7"	O00628	"Evidence at protein level"
ENSG00000152556	PFKM	"Phosphofructokinase, muscle"	P08237	"Evidence at protein level"
ENSG00000164708	PGAM2	"Phosphoglycerate mutase 2"	P15259	"Evidence at protein level"
ENSG00000148985	PGAP2	"Post-GPI attachment to proteins 2"	Q9UHJ9	"Evidence at protein level"
ENSG00000102144	PGK1	"Phosphoglycerate kinase 1"	P00558	"Evidence at protein level"
ENSG00000079739	PGM1	"Phosphoglucomutase 1"	P36871	"Evidence at protein level"
ENSG00000013375	PGM3	"Phosphoglucomutase 3"	O95394	"Evidence at protein level"
ENSG00000102174	PHEX	"Phosphate regulating endopeptidase homolog X-linked"	P78562	"Evidence at protein level"
ENSG00000172943	PHF8	"PHD finger protein 8"	Q9UPP1	"Evidence at protein level"
ENSG00000092621	PHGDH	"Phosphoglycerate dehydrogenase"	O43175	"Evidence at protein level"
ENSG00000156873	PHKG2	"Phosphorylase kinase catalytic subunit gamma 2"	P15735	"Evidence at protein level"
ENSG00000107537	PHYH	"Phytanoyl-CoA 2-hydroxylase"	O14832	"Evidence at protein level"
ENSG00000175309	PHYKPL	"5-phosphohydroxy-L-lysine phospho-lyase"	Q8IUZ5	"Evidence at protein level"
ENSG00000241973	PI4KA	"Phosphatidylinositol 4-kinase alpha"	P42356	"Evidence at protein level"
ENSG00000103335	PIEZO1	"Piezo type mechanosensitive ion channel component 1"	Q92508	"Evidence at protein level"
ENSG00000154864	PIEZO2	"Piezo type mechanosensitive ion channel component 2"	Q9H5I5	"Evidence at protein level"
ENSG00000165195	PIGA	"Phosphatidylinositol glycan anchor biosynthesis class A"	P37287	"Evidence at protein level"
ENSG00000108474	PIGL	"Phosphatidylinositol glycan anchor biosynthesis class L"	Q9Y2B2	"Evidence at protein level"
ENSG00000185808	PIGP	"Phosphatidylinositol glycan anchor biosynthesis class P"	P57054	"Evidence at protein level"
ENSG00000115020	PIKFYVE	"Phosphoinositide kinase, FYVE-type zinc finger containing"	Q9Y2I7	"Evidence at protein level"
ENSG00000158828	PINK1	"PTEN induced putative kinase 1"	Q9BXM7	"Evidence at protein level"
ENSG00000186111	PIP5K1C	"Phosphatidylinositol-4-phosphate 5-kinase type 1 gamma"	O60331	"Evidence at protein level"
ENSG00000204311	PJVK	Pejvakin	Q0ZLH3	"Evidence at protein level"
ENSG00000008710	PKD1	"Polycystin 1, transient receptor potential channel interacting"	P98161	"Evidence at protein level"
ENSG00000158683	PKD1L1	"Polycystin 1 like 1, transient receptor potential channel interacting"	Q8TDX9	"Evidence at protein level"
ENSG00000118762	PKD2	"Polycystin 2, transient receptor potential cation channel"	Q13563	"Evidence at protein level"
ENSG00000143627	PKLR	"Pyruvate kinase L/R"	P30613	"Evidence at protein level"
ENSG00000127472	PLA2G5	"Phospholipase A2 group V"	P39877	"Evidence at protein level"
ENSG00000146070	PLA2G7	"Phospholipase A2 group VII"	Q13093	"Evidence at protein level"
ENSG00000182621	PLCB1	"Phospholipase C beta 1"	Q9NQ66	"Evidence at protein level"
ENSG00000101333	PLCB4	"Phospholipase C beta 4"	Q15147	"Evidence at protein level"
ENSG00000187091	PLCD1	"Phospholipase C delta 1"	P51178	"Evidence at protein level"
ENSG00000138193	PLCE1	"Phospholipase C epsilon 1"	Q9P212	"Evidence at protein level"
ENSG00000197943	PLCG2	"Phospholipase C gamma 2"	P16885	"Evidence at protein level"
ENSG00000139151	PLCZ1	"Phospholipase C zeta 1"	Q86YW0	"Evidence at protein level"
ENSG00000075651	PLD1	"Phospholipase D1"	Q13393	"Evidence at protein level"
ENSG00000105223	PLD3	"Phospholipase D family member 3"	Q8IV08	"Evidence at protein level"
ENSG00000166851	PLK1	"Polo like kinase 1"	P53350	"Evidence at protein level"
ENSG00000142731	PLK4	"Polo like kinase 4"	O00444	"Evidence at protein level"
ENSG00000198523	PLN	Phospholamban	P26678	"Evidence at protein level"
ENSG00000083444	PLOD1	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"	Q02809	"Evidence at protein level"
ENSG00000152952	PLOD2	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	O00469	"Evidence at protein level"
ENSG00000106397	PLOD3	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"	O60568	"Evidence at protein level"
ENSG00000140650	PMM2	"Phosphomannomutase 2"	O15305	"Evidence at protein level"
ENSG00000109099	PMP22	"Peripheral myelin protein 22"	Q01453	"Evidence at protein level"
ENSG00000165688	PMPCA	"Peptidase, mitochondrial processing alpha subunit"	Q10713	"Evidence at protein level"
ENSG00000163344	PMVK	"Phosphomevalonate kinase"	Q15126	"Evidence at protein level"
ENSG00000039650	PNKP	"Polynucleotide kinase 3'-phosphatase"	Q96T60	"Evidence at protein level"
ENSG00000177666	PNPLA2	"Patatin like phospholipase domain containing 2"	Q96AD5	"Evidence at protein level"
ENSG00000100344	PNPLA3	"Patatin like phospholipase domain containing 3"	Q9NST1	"Evidence at protein level"
ENSG00000006757	PNPLA4	"Patatin like phospholipase domain containing 4"	P41247	"Evidence at protein level"
ENSG00000032444	PNPLA6	"Patatin like phospholipase domain containing 6"	Q8IY17	"Evidence at protein level"
ENSG00000135241	PNPLA8	"Patatin like phospholipase domain containing 8"	Q9NP80	"Evidence at protein level"
ENSG00000108439	PNPO	"Pyridoxamine 5'-phosphate oxidase"	Q9NVS9	"Evidence at protein level"
ENSG00000138035	PNPT1	"Polyribonucleotide nucleotidyltransferase 1"	Q8TCS8	"Evidence at protein level"
ENSG00000101346	POFUT1	"Protein O-fucosyltransferase 1"	Q9H488	"Evidence at protein level"
ENSG00000163389	POGLUT1	"Protein O-glucosyltransferase 1"	Q8NBL1	"Evidence at protein level"
ENSG00000062822	POLD1	"DNA polymerase delta 1, catalytic subunit"	P28340	"Evidence at protein level"
ENSG00000140521	POLG	"DNA polymerase gamma, catalytic subunit"	P54098	"Evidence at protein level"
ENSG00000256525	POLG2	"DNA polymerase gamma 2, accessory subunit"	Q9UHN1	"Evidence at protein level"
ENSG00000170734	POLH	"DNA polymerase eta"	Q9Y253	"Evidence at protein level"
ENSG00000051341	POLQ	"DNA polymerase theta"	O75417	"Evidence at protein level"
ENSG00000068654	POLR1A	"RNA polymerase I subunit A"	O95602	"Evidence at protein level"
ENSG00000148606	POLR3A	"RNA polymerase III subunit A"	O14802	"Evidence at protein level"
ENSG00000013503	POLR3B	"RNA polymerase III subunit B"	Q9NW08	"Evidence at protein level"
ENSG00000144647	POMGNT2	"Protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)"	Q8NAT1	"Evidence at protein level"
ENSG00000185900	POMK	"Protein-O-mannose kinase"	Q9H5K3	"Evidence at protein level"
ENSG00000130714	POMT1	"Protein O-mannosyltransferase 1"	Q9Y6A1	"Evidence at protein level"
ENSG00000009830	POMT2	"Protein O-mannosyltransferase 2"	Q9UKY4	"Evidence at protein level"
ENSG00000005421	PON1	"Paraoxonase 1"	P27169	"Evidence at protein level"
ENSG00000104356	POP1	"POP1 homolog, ribonuclease P/MRP subunit"	Q99575	"Evidence at protein level"
ENSG00000127948	POR	"Cytochrome p450 oxidoreductase"	P16435	"Evidence at protein level"
ENSG00000102312	PORCN	"Porcupine O-acyltransferase"	Q9H237	"Evidence at protein level"
ENSG00000138777	PPA2	"Pyrophosphatase (inorganic) 2"	Q9H2U2	"Evidence at protein level"
ENSG00000166794	PPIB	"Peptidylprolyl isomerase B"	P23284	"Evidence at protein level"
ENSG00000170836	PPM1D	"Protein phosphatase, Mg2+/Mn2+ dependent 1D"	O15297	"Evidence at protein level"
ENSG00000163644	PPM1K	"Protein phosphatase, Mg2+/Mn2+ dependent 1K"	Q8N3J5	"Evidence at protein level"
ENSG00000143224	PPOX	"Protoporphyrinogen oxidase"	P50336	"Evidence at protein level"
ENSG00000213639	PPP1CB	"Protein phosphatase 1 catalytic subunit beta"	P62140	"Evidence at protein level"
ENSG00000138814	PPP3CA	"Protein phosphatase 3 catalytic subunit alpha"	Q08209	"Evidence at protein level"
ENSG00000131238	PPT1	"Palmitoyl-protein thioesterase 1"	P50897	"Evidence at protein level"
ENSG00000061455	PRDM6	"PR/SET domain 6"	Q9NQX0	"Evidence at protein level"
ENSG00000138078	PREPL	"Prolyl endopeptidase like"	Q4J6C6	"Evidence at protein level"
ENSG00000180644	PRF1	"Perforin 1"	P14222	"Evidence at protein level"
ENSG00000072062	PRKACA	"Protein kinase cAMP-activated catalytic subunit alpha"	P17612	"Evidence at protein level"
ENSG00000165059	PRKACG	"Protein kinase cAMP-activated catalytic subunit gamma"	P22612	"Evidence at protein level"
ENSG00000163932	PRKCD	"Protein kinase C delta"	Q05655	"Evidence at protein level"
ENSG00000126583	PRKCG	"Protein kinase C gamma"	P05129	"Evidence at protein level"
ENSG00000027075	PRKCH	"Protein kinase C eta"	P24723	"Evidence at protein level"
ENSG00000184304	PRKD1	"Protein kinase D1"	Q15139	"Evidence at protein level"
ENSG00000253729	PRKDC	"Protein kinase, DNA-activated, catalytic polypeptide"	P78527	"Evidence at protein level"
ENSG00000185532	PRKG1	"Protein kinase, cGMP-dependent, type I"	Q13976	"Evidence at protein level"
ENSG00000185345	PRKN	"Parkin RBR E3 ubiquitin protein ligase"	O60260	"Evidence at protein level"
ENSG00000183943	PRKX	"Protein kinase, X-linked"	P51817	"Evidence at protein level"
ENSG00000132600	PRMT7	"Protein arginine methyltransferase 7"	Q9NVM4	"Evidence at protein level"
ENSG00000171867	PRNP	"Prion protein"	P04156	"Evidence at protein level"
ENSG00000100033	PRODH	"Proline dehydrogenase 1"	O43272	"Evidence at protein level"
ENSG00000101292	PROKR2	"Prokineticin receptor 2"	Q8NFJ6	"Evidence at protein level"
ENSG00000112619	PRPH2	"Peripherin 2"	P23942	"Evidence at protein level"
ENSG00000147224	PRPS1	"Phosphoribosyl pyrophosphate synthetase 1"	P60891	"Evidence at protein level"
ENSG00000167371	PRRT2	"Proline rich transmembrane protein 2"	Q7Z6L0	"Evidence at protein level"
ENSG00000164099	PRSS12	"Serine protease 12"	P56730	"Evidence at protein level"
ENSG00000165076	PRSS37	"Serine protease 37"	A4D1T9	"Evidence at protein level"
ENSG00000237412	PRSS56	"Serine protease 56"	P0CW18	"Evidence at protein level"
ENSG00000196415	PRTN3	"Proteinase 3"	P24158	"Evidence at protein level"
ENSG00000143363	PRUNE1	"Prune exopolyphosphatase 1"	Q86TP1	"Evidence at protein level"
ENSG00000197746	PSAP	Prosaposin	P07602	"Evidence at protein level"
ENSG00000135069	PSAT1	"Phosphoserine aminotransferase 1"	Q9Y617	"Evidence at protein level"
ENSG00000080815	PSEN1	"Presenilin 1"	P49768	"Evidence at protein level"
ENSG00000143801	PSEN2	"Presenilin 2"	P49810	"Evidence at protein level"
ENSG00000146733	PSPH	"Phosphoserine phosphatase"	P78330	"Evidence at protein level"
ENSG00000185920	PTCH1	"Patched 1"	Q13635	"Evidence at protein level"
ENSG00000156471	PTDSS1	"Phosphatidylserine synthase 1"	P48651	"Evidence at protein level"
ENSG00000171862	PTEN	"Phosphatase and tensin homolog"	P60484	"Evidence at protein level"
ENSG00000168229	PTGDR	"Prostaglandin D2 receptor"	Q13258	"Evidence at protein level"
ENSG00000169398	PTK2	"Protein tyrosine kinase 2"	Q05397	"Evidence at protein level"
ENSG00000179295	PTPN11	"Protein tyrosine phosphatase, non-receptor type 11"	Q06124	"Evidence at protein level"
ENSG00000152104	PTPN14	"Protein tyrosine phosphatase, non-receptor type 14"	Q15678	"Evidence at protein level"
ENSG00000134242	PTPN22	"Protein tyrosine phosphatase, non-receptor type 22"	Q9Y2R2	"Evidence at protein level"
ENSG00000142949	PTPRF	"Protein tyrosine phosphatase, receptor type F"	P10586	"Evidence at protein level"
ENSG00000155093	PTPRN2	"Protein tyrosine phosphatase, receptor type N2"	Q92932	"Evidence at protein level"
ENSG00000151490	PTPRO	"Protein tyrosine phosphatase, receptor type O"	Q16827	"Evidence at protein level"
ENSG00000141378	PTRH2	"Peptidyl-tRNA hydrolase 2"	Q9Y3E5	"Evidence at protein level"
ENSG00000150787	PTS	"6-pyruvoyltetrahydropterin synthase"	Q03393	"Evidence at protein level"
ENSG00000177192	PUS1	"Pseudouridylate synthase 1"	Q9Y606	"Evidence at protein level"
ENSG00000110060	PUS3	"Pseudouridylate synthase 3"	Q9BZE2	"Evidence at protein level"
ENSG00000130508	PXDN	Peroxidasin	Q92626	"Evidence at protein level"
ENSG00000183010	PYCR1	"Pyrroline-5-carboxylate reductase 1"	P32322	"Evidence at protein level"
ENSG00000143811	PYCR2	"Pyrroline-5-carboxylate reductase 2"	Q96C36	"Evidence at protein level"
ENSG00000100504	PYGL	"Glycogen phosphorylase L"	P06737	"Evidence at protein level"
ENSG00000068976	PYGM	"Glycogen phosphorylase, muscle associated"	P11217	"Evidence at protein level"
ENSG00000172053	QARS	"Glutaminyl-tRNA synthetase"	P47897	"Evidence at protein level"
ENSG00000151552	QDPR	"Quinoid dihydropteridine reductase"	P09417	"Evidence at protein level"
ENSG00000130348	QRSL1	"Glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1"	Q9H0R6	"Evidence at protein level"
ENSG00000166349	RAG1	"Recombination activating 1"	P15918	"Evidence at protein level"
ENSG00000153201	RANBP2	"RAN binding protein 2"	P49792	"Evidence at protein level"
ENSG00000113643	RARS	"Arginyl-tRNA synthetase"	P54136	"Evidence at protein level"
ENSG00000146282	RARS2	"Arginyl-tRNA synthetase 2, mitochondrial"	Q5T160	"Evidence at protein level"
ENSG00000125826	RBCK1	"RANBP2-type and C3HC4-type zinc finger containing 1"	Q9BYM8	"Evidence at protein level"
ENSG00000265203	RBP3	"Retinol binding protein 3"	P10745	"Evidence at protein level"
ENSG00000072042	RDH11	"Retinol dehydrogenase 11 (all-trans/9-cis/11-cis)"	Q8TC12	"Evidence at protein level"
ENSG00000135437	RDH5	"Retinol dehydrogenase 5"	Q92781	"Evidence at protein level"
ENSG00000163933	RFT1	"RFT1 homolog"	Q96AA3	"Evidence at protein level"
ENSG00000168411	RFWD3	"Ring finger and WD repeat domain 3"	Q6PCD5	"Evidence at protein level"
ENSG00000148604	RGR	"Retinal G protein coupled receptor"	P47804	"Evidence at protein level"
ENSG00000112077	RHAG	"Rh associated glycoprotein"	Q02094	"Evidence at protein level"
ENSG00000129667	RHBDF2	"Rhomboid 5 homolog 2"	Q6PJF5	"Evidence at protein level"
ENSG00000163914	RHO	Rhodopsin	P08100	"Evidence at protein level"
ENSG00000183421	RIPK4	"Receptor interacting serine/threonine kinase 4"	P57078	"Evidence at protein level"
ENSG00000131263	RLIM	"Ring finger protein, LIM domain interacting"	Q9NVW2	"Evidence at protein level"
ENSG00000171865	RNASEH1	"Ribonuclease H1"	O60930	"Evidence at protein level"
ENSG00000104889	RNASEH2A	"Ribonuclease H2 subunit A"	O75792	"Evidence at protein level"
ENSG00000101695	RNF125	"Ring finger protein 125"	Q96EQ8	"Evidence at protein level"
ENSG00000181481	RNF135	"Ring finger protein 135"	Q8IUD6	"Evidence at protein level"
ENSG00000170881	RNF139	"Ring finger protein 139"	Q8WU17	"Evidence at protein level"
ENSG00000118518	RNF146	"Ring finger protein 146"	Q9NTX7	"Evidence at protein level"
ENSG00000163961	RNF168	"Ring finger protein 168"	Q8IYW5	"Evidence at protein level"
ENSG00000120925	RNF170	"Ring finger protein 170"	Q96K19	"Evidence at protein level"
ENSG00000173821	RNF213	"Ring finger protein 213"	Q63HN8	"Evidence at protein level"
ENSG00000011275	RNF216	"Ring finger protein 216"	Q9NWF9	"Evidence at protein level"
ENSG00000108375	RNF43	"Ring finger protein 43"	Q68DV7	"Evidence at protein level"
ENSG00000127870	RNF6	"Ring finger protein 6"	Q9Y252	"Evidence at protein level"
ENSG00000185483	ROR1	"Receptor tyrosine kinase like orphan receptor 1"	Q01973	"Evidence at protein level"
ENSG00000169071	ROR2	"Receptor tyrosine kinase like orphan receptor 2"	Q01974	"Evidence at protein level"
ENSG00000047936	ROS1	"ROS proto-oncogene 1, receptor tyrosine kinase"	P08922	"Evidence at protein level"
ENSG00000153574	RPIA	"Ribose 5-phosphate isomerase A"	P49247	"Evidence at protein level"
ENSG00000177189	RPS6KA3	"Ribosomal protein S6 kinase A3"	P51812	"Evidence at protein level"
ENSG00000258366	RTEL1	"Regulator of telomere elongation helicase 1"	Q9NZ71	"Evidence at protein level"
ENSG00000133105	RXFP2	"Relaxin/insulin like family peptide receptor 2"	Q8WXD0	"Evidence at protein level"
ENSG00000267534	S1PR2	"Sphingosine-1-phosphate receptor 2"	O95136	"Evidence at protein level"
ENSG00000123453	SARDH	"Sarcosine dehydrogenase"	Q9UL12	"Evidence at protein level"
ENSG00000031698	SARS	"Seryl-tRNA synthetase"	P49591	"Evidence at protein level"
ENSG00000104835	SARS2	"Seryl-tRNA synthetase 2, mitochondrial"	Q9NP81	"Evidence at protein level"
ENSG00000130066	SAT1	"Spermidine/spermine N1-acetyltransferase 1"	P21673	"Evidence at protein level"
ENSG00000109929	SC5D	Sterol-C5-desaturase	O75845	"Evidence at protein level"
ENSG00000116171	SCP2	"Sterol carrier protein 2"	P22307	"Evidence at protein level"
ENSG00000142186	SCYL1	"SCY1 like pseudokinase 1"	Q96KG9	"Evidence at protein level"
ENSG00000117118	SDHB	"Succinate dehydrogenase complex iron sulfur subunit B"	P21912	"Evidence at protein level"
ENSG00000138674	SEC31A	"SEC31 homolog A, COPII coat complex component"	O94979	"Evidence at protein level"
ENSG00000058262	SEC61A1	"Sec61 translocon alpha 1 subunit"	P61619	"Evidence at protein level"
ENSG00000025796	SEC63	"SEC63 homolog, protein translocation regulator"	Q9UGP8	"Evidence at protein level"
ENSG00000143416	SELENBP1	"Selenium binding protein 1"	Q13228	"Evidence at protein level"
ENSG00000198843	SELENOT	"Selenoprotein T"	P62341	"Evidence at protein level"
ENSG00000109618	SEPSECS	"Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase"	Q9HD40	"Evidence at protein level"
ENSG00000181555	SETD2	"SET domain containing 2"	Q9BYW2	"Evidence at protein level"
ENSG00000183605	SFXN4	"Sideroflexin 4"	Q6P4A7	"Evidence at protein level"
ENSG00000166224	SGPL1	"Sphingosine-1-phosphate lyase 1"	O95470	"Evidence at protein level"
ENSG00000181523	SGSH	"N-sulfoglucosamine sulfohydrolase"	P51688	"Evidence at protein level"
ENSG00000197417	SHPK	Sedoheptulokinase	Q9UHJ6	"Evidence at protein level"
ENSG00000110013	SIAE	"Sialic acid acetylesterase"	Q9HAT2	"Evidence at protein level"
ENSG00000142178	SIK1	"Salt inducible kinase 1"	P57059	"Evidence at protein level"
ENSG00000110911	SLC11A2	"Solute carrier family 11 member 2"	P49281	"Evidence at protein level"
ENSG00000140199	SLC12A6	"Solute carrier family 12 member 6"	Q9UHW9	"Evidence at protein level"
ENSG00000221955	SLC12A8	"Solute carrier family 12 member 8"	A0AV02	"Evidence at protein level"
ENSG00000141485	SLC13A5	"Solute carrier family 13 member 5"	Q86YT5	"Evidence at protein level"
ENSG00000155380	SLC16A1	"Solute carrier family 16 member 1"	P53985	"Evidence at protein level"
ENSG00000174326	SLC16A11	"Solute carrier family 16 member 11"	Q8NCK7	"Evidence at protein level"
ENSG00000174327	SLC16A13	"Solute carrier family 16 member 13"	Q7RTY0	"Evidence at protein level"
ENSG00000147100	SLC16A2	"Solute carrier family 16 member 2"	P36021	"Evidence at protein level"
ENSG00000179520	SLC17A8	"Solute carrier family 17 member 8"	Q8NDX2	"Evidence at protein level"
ENSG00000101194	SLC17A9	"Solute carrier family 17 member 9"	Q9BYT1	"Evidence at protein level"
ENSG00000187714	SLC18A3	"Solute carrier family 18 member A3"	Q16572	"Evidence at protein level"
ENSG00000117479	SLC19A2	"Solute carrier family 19 member 2"	O60779	"Evidence at protein level"
ENSG00000135917	SLC19A3	"Solute carrier family 19 member 3"	Q9BZV2	"Evidence at protein level"
ENSG00000106688	SLC1A1	"Solute carrier family 1 member 1"	P43005	"Evidence at protein level"
ENSG00000110436	SLC1A2	"Solute carrier family 1 member 2"	P43004	"Evidence at protein level"
ENSG00000079215	SLC1A3	"Solute carrier family 1 member 3"	P43003	"Evidence at protein level"
ENSG00000115902	SLC1A4	"Solute carrier family 1 member 4"	P43007	"Evidence at protein level"
ENSG00000168575	SLC20A2	"Solute carrier family 20 member 2"	Q08357	"Evidence at protein level"
ENSG00000110628	SLC22A18	"Solute carrier family 22 member 18"	Q96BI1	"Evidence at protein level"
ENSG00000197375	SLC22A5	"Solute carrier family 22 member 5"	O76082	"Evidence at protein level"
ENSG00000074621	SLC24A1	"Solute carrier family 24 member 1"	O60721	"Evidence at protein level"
ENSG00000140090	SLC24A4	"Solute carrier family 24 member 4"	Q8NFF2	"Evidence at protein level"
ENSG00000188467	SLC24A5	"Solute carrier family 24 member 5"	Q71RS6	"Evidence at protein level"
ENSG00000100075	SLC25A1	"Solute carrier family 25 member 1"	P53007	"Evidence at protein level"
ENSG00000115840	SLC25A12	"Solute carrier family 25 member 12"	O75746	"Evidence at protein level"
ENSG00000004864	SLC25A13	"Solute carrier family 25 member 13"	Q9UJS0	"Evidence at protein level"
ENSG00000102743	SLC25A15	"Solute carrier family 25 member 15"	Q9Y619	"Evidence at protein level"
ENSG00000125454	SLC25A19	"Solute carrier family 25 member 19"	Q9HC21	"Evidence at protein level"
ENSG00000178537	SLC25A20	"Solute carrier family 25 member 20"	O43772	"Evidence at protein level"
ENSG00000177542	SLC25A22	"Solute carrier family 25 member 22"	Q9H936	"Evidence at protein level"
ENSG00000144741	SLC25A26	"Solute carrier family 25 member 26"	Q70HW3	"Evidence at protein level"
ENSG00000075415	SLC25A3	"Solute carrier family 25 member 3"	Q00325	"Evidence at protein level"
ENSG00000164933	SLC25A32	"Solute carrier family 25 member 32"	Q9H2D1	"Evidence at protein level"
ENSG00000144659	SLC25A38	"Solute carrier family 25 member 38"	Q96DW6	"Evidence at protein level"
ENSG00000164209	SLC25A46	"Solute carrier family 25 member 46"	Q96AG3	"Evidence at protein level"
ENSG00000145217	SLC26A1	"Solute carrier family 26 member 1"	Q9H2B4	"Evidence at protein level"
ENSG00000155850	SLC26A2	"Solute carrier family 26 member 2"	P50443	"Evidence at protein level"
ENSG00000091138	SLC26A3	"Solute carrier family 26 member 3"	P40879	"Evidence at protein level"
ENSG00000091137	SLC26A4	"Solute carrier family 26 member 4"	O43511	"Evidence at protein level"
ENSG00000170615	SLC26A5	"Solute carrier family 26 member 5"	P58743	"Evidence at transcript level"
ENSG00000112053	SLC26A8	"Solute carrier family 26 member 8"	Q96RN1	"Evidence at protein level"
ENSG00000167114	SLC27A4	"Solute carrier family 27 member 4"	Q6P1M0	"Evidence at protein level"
ENSG00000198246	SLC29A3	"Solute carrier family 29 member 3"	Q9BZD2	"Evidence at protein level"
ENSG00000117394	SLC2A1	"Solute carrier family 2 member 1"	P11166	"Evidence at protein level"
ENSG00000197496	SLC2A10	"Solute carrier family 2 member 10"	O95528	"Evidence at protein level"
ENSG00000163581	SLC2A2	"Solute carrier family 2 member 2"	P11168	"Evidence at protein level"
ENSG00000181856	SLC2A4	"Solute carrier family 2 member 4"	P14672	"Evidence at protein level"
ENSG00000109667	SLC2A9	"Solute carrier family 2 member 9"	Q9NRM0	"Evidence at protein level"
ENSG00000196660	SLC30A10	"Solute carrier family 30 member 10"	Q6XR72	"Evidence at protein level"
ENSG00000158014	SLC30A2	"Solute carrier family 30 member 2"	Q9BRI3	"Evidence at protein level"
ENSG00000014824	SLC30A9	"Solute carrier family 30 member 9"	Q6PML9	"Evidence at protein level"
ENSG00000169359	SLC33A1	"Solute carrier family 33 member 1"	O00400	"Evidence at protein level"
ENSG00000131183	SLC34A1	"Solute carrier family 34 member 1"	Q06495	"Evidence at protein level"
ENSG00000157765	SLC34A2	"Solute carrier family 34 member 2"	O95436	"Evidence at protein level"
ENSG00000198569	SLC34A3	"Solute carrier family 34 member 3"	Q8N130	"Evidence at protein level"
ENSG00000164414	SLC35A1	"Solute carrier family 35 member A1"	P78382	"Evidence at protein level"
ENSG00000102100	SLC35A2	"Solute carrier family 35 member A2"	P78381	"Evidence at protein level"
ENSG00000117620	SLC35A3	"Solute carrier family 35 member A3"	Q9Y2D2	"Evidence at protein level"
ENSG00000181830	SLC35C1	"Solute carrier family 35 member C1"	Q96A29	"Evidence at protein level"
ENSG00000116704	SLC35D1	"Solute carrier family 35 member D1"	Q9NTN3	"Evidence at protein level"
ENSG00000186335	SLC36A2	"Solute carrier family 36 member 2"	Q495M3	"Evidence at protein level"
ENSG00000166558	SLC38A8	"Solute carrier family 38 member 8"	A6NNN8	"Evidence at protein level"
ENSG00000165915	SLC39A13	"Solute carrier family 39 member 13"	Q96H72	"Evidence at protein level"
ENSG00000139540	SLC39A5	"Solute carrier family 39 member 5"	Q6ZMH5	"Evidence at protein level"
ENSG00000138821	SLC39A8	"Solute carrier family 39 member 8"	Q9C0K1	"Evidence at protein level"
ENSG00000138079	SLC3A1	"Solute carrier family 3 member 1"	Q07837	"Evidence at protein level"
ENSG00000138449	SLC40A1	"Solute carrier family 40 member 1"	Q9NP59	"Evidence at protein level"
ENSG00000204385	SLC44A4	"Solute carrier family 44 member 4"	Q53GD3	"Evidence at protein level"
ENSG00000162426	SLC45A1	"Solute carrier family 45 member 1"	Q9Y2W3	"Evidence at protein level"
ENSG00000164175	SLC45A2	"Solute carrier family 45 member 2"	Q9UMX9	"Evidence at protein level"
ENSG00000076351	SLC46A1	"Solute carrier family 46 member 1"	Q96NT5	"Evidence at protein level"
ENSG00000004939	SLC4A1	"Solute carrier family 4 member 1 (Diego blood group)"	P02730	"Evidence at protein level"
